Title = 图像 - 波比滿等滿技. 289,597,795^^.png | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1403
#14700 = （720 × 1,280像素，文件大小：694 KB，MIME类型：image/png）
u = 600780, => http://zh.tos.wikia.com/wiki/File:%E6%B3%A2%E6%AF%94%E6%BB%BF%E7%AD%89%E6%BB%BF%E6%8A%80._289,597,795%5E%5E.png
#14707 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B4%9B%E5%A6%B20%E7%9F%B3%E8%BC%95%E9%AC%86%E9%81%8E%E5%B7%A8%E6%98%9F%E7%9A%84%E5%90%9B%E8%87%A8_%E6%9A%A8%E6%BB%BF%E7%AD%89%E6%BB%BF%E6%8A%80%E6%B8%AC%E8%A9%A6
#14708 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B4%9B%E5%A6%B20%E7%9F%B3%E8%BC%95%E9%AC%86%E9%81%8E%E5%B7%A8%E6%98%9F%E7%9A%84%E5%90%9B%E8%87%A8_%E6%9A%A8%E6%BB%BF%E7%AD%89%E6%BB%BF%E6%8A%80%E6%B8%AC%E8%A9%A6-0
#14709 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B4%9B%E5%A6%B22%E6%88%90%E5%B0%B1%E9%80%9A%E9%97%9C_%E9%BB%91%E9%A8%8E%E5%A3%AB%E7%9A%84%E5%BC%B7%E8%A5%B2_%E5%9C%B0%E7%8D%84%E7%B4%9A
#14710 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B4%9B%E5%A6%B2%E9%9A%8A0%E7%9F%B3%E9%81%8E_%E6%98%9F%E8%A9%A0%E4%B9%8B%E6%AD%8C%E5%A7%AC_Extra
#14711 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B4%9B%E5%A6%B2%E9%9A%8A0%E7%9F%B3%E9%81%8E_%E6%98%9F%E8%A9%A0%E4%B9%8B%E6%AD%8C%E5%A7%AC_Extra-0
#14712 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B4%9B%E5%A6%B2%E9%9A%8A0%E7%9F%B3%E9%81%8E_%E6%98%9F%E8%A9%A0%E4%B9%8B%E6%AD%8C%E5%A7%AC_Extra-1
#14713 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B4%9B%E5%A6%B2%E9%9A%8A0%E7%9F%B3%E9%81%8E_%E6%98%9F%E8%A9%A0%E4%B9%8B%E6%AD%8C%E5%A7%AC_Extra-2
#14714 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B4%9B%E5%A6%B2%E9%9A%8A_0%E7%9F%B3_%E9%81%8E%E3%80%8E%E6%98%9F%E8%A9%A0%E4%B9%8B%E6%AD%8C%E5%A7%AC%E3%80%8F%E8%B6%85%E7%B4%9A
#14715 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B4%9B%E5%A6%B2%E9%9A%8A_0%E7%9F%B3_%E9%81%8E%E3%80%8E%E6%98%9F%E8%A9%A0%E4%B9%8B%E6%AD%8C%E5%A7%AC%E3%80%8F%E8%B6%85%E7%B4%9A-0
#14716 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B4%9B%E5%A6%B2%E9%9A%8A_0%E7%9F%B3_%E9%81%8E%E3%80%8E%E6%98%9F%E8%A9%A0%E4%B9%8B%E6%AD%8C%E5%A7%AC%E3%80%8F%E8%B6%85%E7%B4%9A-1
#14717 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B4%9B%E5%A6%B2%E9%9A%8A%E8%BC%95%E9%AC%86%E7%A0%B4%E6%9C%A8%E9%B4%A8%E8%B6%85%E7%B4%9A_-_GP_%E7%9C%9F%E7%B4%85
Title = 图像 - 洞察世界的智慧.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1435
#14718 = （1,700 × 965像素，文件大小：303 KB，MIME类型：image/jpeg）
u = Wingwing007, => http://zh.tos.wikia.com/wiki/File:%E6%B4%9E%E5%AF%9F%E4%B8%96%E7%95%8C%E7%9A%84%E6%99%BA%E6%85%A7.jpg
Title = 图像 - 活火蔓延的恐怖.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1422
#14719 = （1,700 × 965像素，文件大小：310 KB，MIME类型：image/jpeg）
u = Wingwing007, => http://zh.tos.wikia.com/wiki/File:%E6%B4%BB%E7%81%AB%E8%94%93%E5%BB%B6%E7%9A%84%E6%81%90%E6%80%96.jpg
#14720 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B5%81%E9%80%A3%E7%9A%84%E6%B0%B4%E7%93%B6_%E6%B0%B4%E7%94%81%E5%AE%AEEXTRA_%E9%BE%8D%E9%9A%8A%E9%A9%9A%E9%9A%AA%E9%80%9A%E9%97%9C@%E8%B3%BD%E9%96%80%C2%B9(2014_7_3)
Title = 图像 - 海上的秘密交易.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1445
#14721 = （1,148 × 600像素，文件大小：566 KB，MIME类型：image/jpeg）
u = Wingwing007, => http://zh.tos.wikia.com/wiki/File:%E6%B5%B7%E4%B8%8A%E7%9A%84%E7%A7%98%E5%AF%86%E4%BA%A4%E6%98%93.jpg
#14722 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B5%B7%E4%B8%8A%E7%9A%84%E7%A7%98%E5%AF%86%E4%BA%A4%E6%98%93_X_%E6%9A%97%E9%9A%8A%E9%9B%99%E6%88%90%E5%B0%B1
#14723 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B5%B7%E4%B8%8A%E7%9A%84%E7%A7%98%E5%AF%86%E4%BA%A4%E6%98%93_X_%E6%9C%A8%E9%9A%8A%E9%9B%99%E6%88%90%E5%B0%B1
#14724 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B5%B7%E4%B8%8A%E7%9A%84%E7%A7%98%E5%AF%86%E4%BA%A4%E6%98%93%E6%89%80%E6%9C%89%E6%88%90%E5%B0%B1%E2%94%82%E5%85%AB%E5%B0%81%E7%8E%8B%E9%9B%99%E6%88%90%E5%B0%B1%E5%85%A9%E9%9A%8A%E7%A4%BA%E7%AF%84
Title = 图像 - 海巫extra.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1433
#14725 = （768 × 1,024像素，文件大小：296 KB，MIME类型：image/jpeg）
u = Chowthung, => http://zh.tos.wikia.com/wiki/File:%E6%B5%B7%E5%B7%ABextra.jpg
#14726 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B5%B7%E5%B7%AB%E7%9A%84%E6%AD%8C%E8%81%B2_EXTRA_%E5%85%89%E6%A9%9F%E5%81%B6%E5%81%BD%E6%B0%B4%E9%9A%8A
#14727 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B5%B7%E5%B7%AB%E7%9A%84%E6%AD%8C%E8%81%B2_%E8%B6%85%E7%B4%9A
#14728 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B5%B7%E6%B4%8B%E7%9A%84%E8%A8%AA%E5%AE%A2%E2%80%A7%E6%B0%B4_B.DUCK_%E8%B6%85%E7%B4%9A_-_GP_%E9%98%BF%E7%B4%AB
Title = 图像 - 海浪八音盒.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1432
#14729 = （1,700 × 965像素，文件大小：210 KB，MIME类型：image/jpeg）
u = Tommyng1101, => http://zh.tos.wikia.com/wiki/File:%E6%B5%B7%E6%B5%AA%E5%85%AB%E9%9F%B3%E7%9B%92.jpg
Title = 图像 - 海神波賽頓.png | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1404
#14730 = （480 × 800像素，文件大小：455 KB，MIME类型：image/png）
u = 滄海水月, => http://zh.tos.wikia.com/wiki/File:%E6%B5%B7%E7%A5%9E%E6%B3%A2%E8%B3%BD%E9%A0%93.png
Title = 图像 - 消暑解渴海之家.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1443
#14731 = （1,700 × 956像素，文件大小：167 KB，MIME类型：image/jpeg）
u = Wingwing007, => http://zh.tos.wikia.com/wiki/File:%E6%B6%88%E6%9A%91%E8%A7%A3%E6%B8%B4%E6%B5%B7%E4%B9%8B%E5%AE%B6.jpg
Title = 图像 - 消除罪惡之炎.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1428
#14732 = （851 × 315像素，文件大小：357 KB，MIME类型：image/jpeg）
u = 568736, => http://zh.tos.wikia.com/wiki/File:%E6%B6%88%E9%99%A4%E7%BD%AA%E6%83%A1%E4%B9%8B%E7%82%8E.jpg
#14733 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B7%B1%E7%A9%BA%E6%98%9F%E6%B5%B7%E4%B9%8B%E4%B8%BB_-_%E9%BB%83%E8%A1%A3%E4%B9%8B%E7%8E%8B%E7%9A%84%E5%8D%B0%E8%A8%98_-_%E9%9B%99%E7%81%AB%E7%8B%820%E7%9F%B3%E9%80%9A%E9%97%9C
#14734 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B7%B1%E7%A9%BA%E6%98%9F%E6%B5%B7%E4%B9%8B%E4%B8%BB_-_%E9%BB%83%E8%A1%A3%E4%B9%8B%E7%8E%8B%E7%9A%84%E5%8D%B0%E8%A8%98_-_%E9%9B%99%E7%81%AB%E7%8B%820%E7%9F%B3%E9%80%9A%E9%97%9C-0
#14735 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B7%B1%E7%A9%BA%E6%98%9F%E6%B5%B7%E4%B9%8B%E4%B8%BB_-_%E9%BB%83%E8%A1%A3%E4%B9%8B%E7%8E%8B%E7%9A%84%E5%8D%B0%E8%A8%98_-%E7%81%AB%E5%B8%8C0%E7%9F%B3%E7%84%A1%E4%B8%89%E5%A4%AA%E5%AD%90_3%E6%88%90%E5%B0%B1%E9%81%94%E6%88%90
#14736 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B7%B7%E6%B2%8C%E7%B4%80%E5%85%83.PNG
Title = 图像 - 清涼泳裝迎初夏.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1484
#14737 = （851 × 315像素，文件大小：68 KB，MIME类型：image/jpeg）
u = Wingwing007, => http://zh.tos.wikia.com/wiki/File:%E6%B8%85%E6%B6%BC%E6%B3%B3%E8%A3%9D%E8%BF%8E%E5%88%9D%E5%A4%8F.jpg
#14738 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B8%85%E6%BA%90%E4%BA%8C%E9%83%8E%E5%BA%AD_%E8%B6%85%E7%B4%9A
#14739 Omit => http://zh.tos.wikia.com/wiki/File:%E6%B8%85%E6%BA%90%E4%BA%8C%E9%83%8E%E5%BA%AD_%E8%B6%85%E7%B4%9A-0
Title = 图像 - 渾天混沌.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1442
#14740 = （1,200 × 628像素，文件大小：769 KB，MIME类型：image/jpeg）
u = Wingwing007, => http://zh.tos.wikia.com/wiki/File:%E6%B8%BE%E5%A4%A9%E6%B7%B7%E6%B2%8C.jpg
Title = 图像 - 湛藍的秘客.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1448
#14741 = （1,700 × 965像素，文件大小：169 KB，MIME类型：image/jpeg）
u = Wingwing007, => http://zh.tos.wikia.com/wiki/File:%E6%B9%9B%E8%97%8D%E7%9A%84%E7%A7%98%E5%AE%A2.jpg
#14742 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BB%84%E9%BE%8D%E7%9A%84%E5%91%BC%E5%98%AF
Title = 图像 - 滄龍的呼嘯.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1420
#14743 = （960 × 544像素，文件大小：90 KB，MIME类型：image/jpeg）
u = CherryK, => http://zh.tos.wikia.com/wiki/File:%E6%BB%84%E9%BE%8D%E7%9A%84%E5%91%BC%E5%98%AF.jpg
#14744 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BB%84%E9%BE%8D%E7%9A%84%E5%91%BC%E5%98%AF_%22%E7%B4%94%E6%B0%B4%E9%9A%8A%22_%E7%A9%A9%E5%AE%9A0%E7%9F%B3%E9%80%9A%E9%97%9C
#14745 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BB%84%E9%BE%8D%E7%9A%84%E5%91%BC%E5%98%AF_%E9%9B%99%E6%9D%9C%E9%96%80%E8%BC%95%E9%AC%86%E9%81%8E
Title = 图像 - 滅世之神重臨神魔.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1442
#14746 = （1,200 × 628像素，文件大小：681 KB，MIME类型：image/jpeg）
u = 568736, => http://zh.tos.wikia.com/wiki/File:%E6%BB%85%E4%B8%96%E4%B9%8B%E7%A5%9E%E9%87%8D%E8%87%A8%E7%A5%9E%E9%AD%94.jpg
Title = 图像 - 滅妖化煞的急報.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1435
#14747 = （1,700 × 965像素，文件大小：226 KB，MIME类型：image/jpeg）
u = Btoky, => http://zh.tos.wikia.com/wiki/File:%E6%BB%85%E5%A6%96%E5%8C%96%E7%85%9E%E7%9A%84%E6%80%A5%E5%A0%B1.jpg
Title = 图像 - 滿滿的異域法眼~~.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1413
#14748 = （540 × 960像素，文件大小：113 KB，MIME类型：image/jpeg）
u = 未聞花名, => http://zh.tos.wikia.com/wiki/File:%E6%BB%BF%E6%BB%BF%E7%9A%84%E7%95%B0%E5%9F%9F%E6%B3%95%E7%9C%BC%7E%7E.jpg
Title = 图像 - 潛伏飛刀手.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1432
#14749 = （1,700 × 965像素，文件大小：172 KB，MIME类型：image/jpeg）
u = Hugochau, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E4%BC%8F%E9%A3%9B%E5%88%80%E6%89%8B.jpg
#14750 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E5%95%9F%E5%B0%81-%E4%B8%8A_%E7%81%AB%E5%8C%97
#14751 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E5%95%9F%E5%B0%81-%E4%B8%8B_%E7%8D%B8%E9%9A%8A
Title = 图像 - 潛能啟封 ‧ 上.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1456
#14752 = （1,400 × 965像素，文件大小：222 KB，MIME类型：image/jpeg）
u = Hugochau, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E5%95%9F%E5%B0%81_%E2%80%A7_%E4%B8%8A.jpg
Title = 图像 - 潛能啟封 ‧ 上 R0.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1422
#14753 = （1,080 × 1,920像素，文件大小：1.7 MB，MIME类型：image/jpeg）
u = Eeepc900, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E5%95%9F%E5%B0%81_%E2%80%A7_%E4%B8%8A_R0.jpg
Title = 图像 - 潛能啟封 ‧ 上 R5-2.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1422
#14754 = （1,080 × 1,920像素，文件大小：1.68 MB，MIME类型：image/jpeg）
u = Eeepc900, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E5%95%9F%E5%B0%81_%E2%80%A7_%E4%B8%8A_R5-2.jpg
Title = 图像 - 潛能啟封 ‧ 上 R6.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1422
#14755 = （1,080 × 1,920像素，文件大小：1.65 MB，MIME类型：image/jpeg）
u = Eeepc900, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E5%95%9F%E5%B0%81_%E2%80%A7_%E4%B8%8A_R6.jpg
Title = 图像 - 潛能啟封 ‧ 上 RF.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1422
#14756 = （1,080 × 1,920像素，文件大小：1.26 MB，MIME类型：image/jpeg）
u = Eeepc900, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E5%95%9F%E5%B0%81_%E2%80%A7_%E4%B8%8A_RF.jpg
Title = 图像 - 潛能啟封 ‧ 下 R0.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1422
#14757 = （1,080 × 1,920像素，文件大小：1.69 MB，MIME类型：image/jpeg）
u = Eeepc900, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E5%95%9F%E5%B0%81_%E2%80%A7_%E4%B8%8B_R0.jpg
Title = 图像 - 潛能啟封 ‧ 下 R5-1.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1422
#14758 = （1,080 × 1,920像素，文件大小：1.81 MB，MIME类型：image/jpeg）
u = Eeepc900, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E5%95%9F%E5%B0%81_%E2%80%A7_%E4%B8%8B_R5-1.jpg
Title = 图像 - 潛能啟封 ‧ 下 RF-1.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1422
#14759 = （1,080 × 1,920像素，文件大小：1.23 MB，MIME类型：image/jpeg）
u = Eeepc900, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E5%95%9F%E5%B0%81_%E2%80%A7_%E4%B8%8B_RF-1.jpg
#14760 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E5%95%9F%E5%B0%81%E2%80%A7%E4%B8%8A_%E9%81%8A%E4%BF%A0%E9%9A%8A_%E7%B4%A0%E6%9D%90%E5%85%A8%E6%94%BB%E7%95%A5
#14761 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E5%95%9F%E5%B0%81%E2%80%A7%E4%B8%8B_%E9%81%8A%E4%BF%A0%E9%9A%8A_%E7%B4%A0%E6%9D%90%E5%85%A8%E6%94%BB%E7%95%A5
Title = 图像 - 潛能破限.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1433
#14762 = （815 × 256像素，文件大小：51 KB，MIME类型：image/jpeg）
u = Wingwing007, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E7%A0%B4%E9%99%90.jpg
#14763 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E8%A7%A3%E6%94%BE---%E6%98%9F%E8%BE%B0%E4%B9%8B%E7%81%AB%E7%9A%84%E4%BD%BF%E8%80%85
#14764 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E8%A7%A3%E6%94%BE%E7%9A%84%E6%A6%AE%E5%85%89-%E6%A0%B9%E6%80%A70%E7%9F%B3
#14765 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E8%A7%A3%E6%94%BE%E7%9A%84%E6%A6%AE%E5%85%89-%E6%A0%B9%E6%80%A70%E7%9F%B3-0
#14766 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E8%A7%A3%E6%94%BE%E7%9A%84%E6%A6%AE%E5%85%89-%E6%A0%B9%E6%80%A70%E7%9F%B3-1
#14767 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E8%A7%A3%E6%94%BE%E7%9A%84%E6%A6%AE%E5%85%89-%E6%A0%B9%E6%80%A70%E7%9F%B3-1404132554
#14768 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E8%A7%A3%E6%94%BE%E7%9A%84%E6%A6%AE%E5%85%89-%E6%A0%B9%E6%80%A70%E7%9F%B3-2
#14769 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E8%A7%A3%E6%94%BE%E7%9A%84%E6%A6%AE%E5%85%89-%E6%A0%B9%E6%80%A70%E7%9F%B3-3
Title = 图像 - 潛能解放的榮光.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1446
#14770 = （960 × 544像素，文件大小：71 KB，MIME类型：image/jpeg）
u = CherryK, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E8%A7%A3%E6%94%BE%E7%9A%84%E6%A6%AE%E5%85%89.jpg
#14771 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E8%A7%A3%E6%94%BE%E7%9A%84%E6%A6%AE%E5%85%89_%E6%B4%9B%E5%A6%B2%E9%9A%8A
Title = 图像 - 潛能解放素材大選 2014.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1405
#14772 = （1,700 × 965像素，文件大小：220 KB，MIME类型：image/jpeg）
u = Hugochau, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E8%A7%A3%E6%94%BE%E7%B4%A0%E6%9D%90%E5%A4%A7%E9%81%B8_2014.jpg
Title = 图像 - 潛能解放關卡i.png | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1462
#14773 = （230 × 64像素，文件大小：77 KB，MIME类型：image/png）
u = Hugochau, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E8%A7%A3%E6%94%BE%E9%97%9C%E5%8D%A1i.png
Title = 图像 - 潛能解放關卡p.png | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1437
#14774 = （225 × 90像素，文件大小：98 KB，MIME类型：image/png）
u = Hugochau, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%83%BD%E8%A7%A3%E6%94%BE%E9%97%9C%E5%8D%A1p.png
#14775 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%97%8F%E5%8A%9B%E9%87%8F%E4%B9%8B%E7%A7%98
Title = 图像 - 潛藏力量之秘.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1451
#14776 = （1,700 × 965像素，文件大小：252 KB，MIME类型：image/jpeg）
u = Wingwing007, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%97%8F%E5%8A%9B%E9%87%8F%E4%B9%8B%E7%A7%98.jpg
#14777 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%97%8F%E5%8A%9B%E9%87%8F%E4%B9%8B%E7%A7%980%E7%9F%B3%E2%97%8F%E8%B6%85%E6%9A%B4%E5%8A%9B%E7%A2%BE%E9%9A%8A
#14778 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%97%8F%E5%8A%9B%E9%87%8F%E4%B9%8B%E7%A7%980%E7%9F%B3%E2%97%8F%E8%B6%85%E6%9A%B4%E5%8A%9B%E7%A2%BE%E9%9A%8A-0
#14779 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%97%8F%E5%8A%9B%E9%87%8F%E4%B9%8B%E7%A7%980%E7%9F%B3%E2%97%8F%E8%B6%85%E6%9A%B4%E5%8A%9B%E7%A2%BE%E9%9A%8A-1
#14780 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%97%8F%E5%8A%9B%E9%87%8F%E4%B9%8B%E7%A7%980%E7%9F%B3%E2%97%8F%E8%B6%85%E6%9A%B4%E5%8A%9B%E7%A2%BE%E9%9A%8A-2
#14781 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%97%8F%E5%8A%9B%E9%87%8F%E4%B9%8B%E7%A7%980%E7%9F%B3%E2%97%8F%E8%B6%85%E6%9A%B4%E5%8A%9B%E7%A2%BE%E9%9A%8A-3
Title = 图像 - 潛藏心中的恐懼.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1434
#14782 = （1,200 × 627像素，文件大小：825 KB，MIME类型：image/jpeg）
u = Sunny-Leu, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%97%8F%E5%BF%83%E4%B8%AD%E7%9A%84%E6%81%90%E6%87%BC.jpg
#14783 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%97%8F%E5%BF%83%E4%B8%AD%E7%9A%84%E6%81%90%E6%87%BC1(%E7%AC%AC%E4%B8%80%E5%B1%A4)
#14784 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%97%8F%E7%9A%84%E9%9D%88%E5%8A%9B-%E6%A0%B9%E6%80%A7%E9%9A%8A
Title = 图像 - 潛藏的靈力.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1432
#14785 = （1,700 × 965像素，文件大小：239 KB，MIME类型：image/jpeg）
u = Hugochau, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%97%8F%E7%9A%84%E9%9D%88%E5%8A%9B.jpg
#14786 Omit => http://zh.tos.wikia.com/wiki/File:%E6%BD%9B%E8%97%8F%E7%9A%84%E9%9D%88%E5%8A%9B_%E7%A5%9E%E7%A3%A8%E9%9A%8A
Title = 图像 - 潜能启封.下 0石通关.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1454
#14787 = （362 × 644像素，文件大小：127 KB，MIME类型：image/jpeg）
u = 小与, => http://zh.tos.wikia.com/wiki/File:%E6%BD%9C%E8%83%BD%E5%90%AF%E5%B0%81.%E4%B8%8B_0%E7%9F%B3%E9%80%9A%E5%85%B3.jpg
Title = 图像 - 潜能启封.下 0石通关队伍.jpg | Tower of Saviors 維基 | FANDOM powered by Wikia, Children = 1454
#14788 = （356 × 632像素，文件大小：286 KB，MIME类型：image/jpeg）
